searchval,blk_no,road_name,building,address,postal,x,y,latitude,longitude,query,category
haw par villa mrt station (cc25),270,pasir panjang road,haw par villa mrt station (cc25),270 pasir panjang road haw par villa mrt station (cc25) singapore 117396,117396,22261.1431040755,29445.802035436,1.28257135772488,103.781752725064,,mrt
kaki bukit mrt station (dt28),30,kaki bukit avenue 1,kaki bukit mrt station (dt28),30 kaki bukit avenue 1 kaki bukit mrt station (dt28) singapore 415804,415804,36362.3782825153,35239.5522551257,1.33496735995428,103.908459338046,,mrt
little india mrt station (dt12),62,bukit timah road,little india mrt station (dt12),62 bukit timah road little india mrt station (dt12) singapore 229902,229902,29707.4618838392,32148.9626245815,1.30701826765224,103.848660935092,,mrt
telok blangah mrt station (cc28),463,telok blangah road,telok blangah mrt station (cc28),463 telok blangah road telok blangah mrt station (cc28) singapore 109028,109028,25378.2908018399,28133.7990515903,1.27070647717762,103.809761611219,,mrt
tuas west road mrt station (ew32),131,pioneer road,tuas west road mrt station (ew32),131 pioneer road tuas west road mrt station (ew32) singapore 639609,639609,6442.92861192208,34689.3517738562,1.32998504653102,103.639616648771,,mrt
woodlands south mrt station (te3),30,woodlands drive 17,woodlands south mrt station (te3),30 woodlands drive 17 woodlands south mrt station (te3) singapore 737741,737741,23542.5545697259,45459.758821588,1.42739605281442,103.79326432221,,mrt
bahar junction mrt station (js7),30,jurong west avenue 4,bahar junction mrt station (js7),30 jurong west avenue 4 bahar junction mrt station (js7) singapore 649658,649658,13497.2176167639,36479.8977549393,1.34618225434114,103.703002254271,,mrt
bukit panjang mrt station (dt1),950,upper bukit timah road,bukit panjang mrt station (dt1),950 upper bukit timah road bukit panjang mrt station (dt1) singapore 678213,678213,20011.3981217332,40108.6837660205,1.37900211641036,103.761535114929,,mrt
buona vista mrt station (cc22),150,north buona vista road,buona vista mrt station (cc22),150 north buona vista road buona vista mrt station (cc22) singapore 139350,139350,23257.9930265341,32106.5630513821,1.30663450405,103.790709404436,,mrt
buona vista mrt station (ew21),100,north buona vista road,buona vista mrt station (ew21),100 north buona vista road buona vista mrt station (ew21) singapore 139345,139345,23207.2578019593,32171.7150982097,1.3072237082044,103.790253514502,,mrt
clarke quay mrt station (ne5),10,eu tong sen street,clarke quay mrt station (ne5),10 eu tong sen street clarke quay mrt station (ne5) singapore 059815,059815,29473.1249443376,30088.7037861496,1.28838602407588,103.846555209694,,mrt
gardens by the bay mrt station (te22),11,marina mall,gardens by the bay mrt station (te22),11 marina mall gardens by the bay mrt station (te22) singapore 019396,019396,31799.0721787345,28994.1708776113,1.27848725876303,103.867454664421,,mrt
harbourfront mrt station (ne1 / cc29),81,telok blangah road,harbourfront mrt station (ne1 / cc29),81 telok blangah road harbourfront mrt station (ne1 / cc29) singapore 098867,098867,26688.0367021402,27545.8534260485,1.26538938374901,103.821530157095,,mrt
jurong west mrt station (js6),50,jurong west avenue 2,jurong west mrt station (js6),50 jurong west avenue 2 jurong west mrt station (js6) singapore 649659,649659,14085.2387306569,36811.8961902522,1.34918500140335,103.708285820033,,mrt
toa payoh mrt station (ns19),510,lorong 6 toa payoh,toa payoh mrt station (ns19),510 lorong 6 toa payoh toa payoh mrt station (ns19) singapore 319398,319398,29578.4890669128,34980.8962922301,1.33262928096888,103.847502198048,,mrt
woodlands north mrt station (te1),20,woodlands north coast road,woodlands north mrt station (te1),20 woodlands north coast road woodlands north mrt station (te1) singapore 737668,737668,22699.9912448721,47770.3945726696,1.44829245259621,103.785692682441,,mrt
buona vista mrt station (ew21),100,north buona vista road,buona vista mrt station (ew21),100 north buona vista road buona vista mrt station (ew21) singapore 139345,139345,23207.2578019593,32171.7150982097,1.3072237082044,103.790253514502,,mrt
gardens by the bay mrt station (te22),11,marina mall,gardens by the bay mrt station (te22),11 marina mall gardens by the bay mrt station (te22) singapore 019396,019396,31799.0721787345,28994.1708776113,1.27848725876303,103.867454664421,,mrt
marina south pier mrt station (ns28),33,marina coastal drive,marina south pier mrt station (ns28),33 marina coastal drive marina south pier mrt station (ns28) singapore 018948,018948,31241.8260070179,28169.2510934137,1.27102703612006,103.862447515736,,mrt
outram park mrt station (ne3),300,eu tong sen street,outram park mrt station (ne3),300 eu tong sen street outram park mrt station (ne3) singapore 059816,059816,28681.2492930563,29130.5222722683,1.27972059383553,103.839439862425,,mrt
raffles place mrt station (ew14 / ns26),5,raffles place,raffles place mrt station (ew14 / ns26),5 raffles place raffles place mrt station (ew14 / ns26) singapore 048618,048618,30019.180527918,29617.6125848945,1.28412561043658,103.851461712342,,mrt
sungei bedok mrt station (te31 / dt37),3,bedok road,sungei bedok mrt station (te31 / dt37),3 bedok road sungei bedok mrt station (te31 / dt37) singapore 469731,469731,41784.9899015203,33629.1483281609,1.32040148729112,103.957183823478,,mrt
tai seng mrt station (cc11),33,upper paya lebar road,tai seng mrt station (cc11),33 upper paya lebar road tai seng mrt station (cc11) singapore 534803,534803,34128.792347569,35258.74881576,1.33514150139202,103.888389300191,,mrt
tan kah kee mrt station (dt8),651,bukit timah road,tan kah kee mrt station (dt8),651 bukit timah road tan kah kee mrt station (dt8) singapore 266268,266268,25155.6221095249,34198.8053115103,1.32555623519898,103.807760304729,,mrt
tanah merah mrt station (ew4),920,new upper changi road,tanah merah mrt station (ew4),920 new upper changi road tanah merah mrt station (ew4) singapore 467356,467356,40579.0997793637,34379.4316836372,1.32718729074675,103.946348600798,,mrt
upper changi mrt station (dt34),690,upper changi road east,upper changi mrt station (dt34),690 upper changi road east upper changi mrt station (dt34) singapore 485990,485990,42262.187971171,35988.6568845119,1.34173977444995,103.961472788634,,mrt
ang mo kio mrt station (ns16),2795,ang mo kio avenue 8,ang mo kio mrt station (ns16),2795 ang mo kio avenue 8 ang mo kio mrt station (ns16) singapore 569812,569812,29807.2611468043,39105.7359950263,1.36993284962262,103.84955809232,,mrt
bukit gombak mrt station (ns3),802,bukit batok west avenue 5,bukit gombak mrt station (ns3),802 bukit batok west avenue 5 bukit gombak mrt station (ns3) singapore 659083,659083,18926.9127006577,37854.0358848721,1.35861159094192,103.751790910733,,mrt
choa chu kang mrt station (js1),60,choa chu kang loop,choa chu kang mrt station (js1),60 choa chu kang loop choa chu kang mrt station (js1) singapore 689960,689960,18069.4334950363,40812.7093489487,1.38536846992147,103.744084909492,,mrt
choa chu kang mrt station (ns4),10,choa chu kang avenue 4,choa chu kang mrt station (ns4),10 choa chu kang avenue 4 choa chu kang mrt station (ns4) singapore 689810,689810,18101.2472041463,40812.1216052417,1.38536316540225,103.744370779756,,mrt
choa chu kang west mrt station (js2),61,choa chu kang avenue 3,choa chu kang west mrt station (js2),61 choa chu kang avenue 3 choa chu kang west mrt station (js2) singapore 689979,689979,17617.2922006147,40133.6950484701,1.37922755842935,103.740022320403,,mrt
city hall mrt station (ew13 / ns25),150,north bridge road,city hall mrt station (ew13 / ns25),150 north bridge road city hall mrt station (ew13 / ns25) singapore 179100,179100,30144.2503791479,30591.9008128252,1.29293672227779,103.852585580366,,mrt
jurong east mrt station (ew24 / ns1),10,jurong east street 12,jurong east mrt station (ew24 / ns1),10 jurong east street 12 jurong east mrt station (ew24 / ns1) singapore 609690,609690,17869.0570516568,35038.9688695427,1.33315281585758,103.742286332403,,mrt
pasir ris east mrt station (cr4),20,pasir ris drive 1,pasir ris east mrt station (cr4),20 pasir ris drive 1 pasir ris east mrt station (cr4) singapore 519969,519969,42160.158442094,38796.1007870715,1.36712928287615,103.960557318417,,mrt
yew tee mrt station (ns5),61,choa chu kang drive,yew tee mrt station (ns5),61 choa chu kang drive yew tee mrt station (ns5) singapore 689715,689715,18438.9831173802,42158.0181021616,1.39753506936297,103.747405150236,,mrt
yio chu kang mrt station (ns15),3000,ang mo kio avenue 8,yio chu kang mrt station (ns15),3000 ang mo kio avenue 8 yio chu kang mrt station (ns15) singapore 569813,569813,29294.1262330338,40413.0626359228,1.38175587099132,103.84494727118,,mrt
aljunied mrt station exit a,,nil,aljunied mrt station exit a,aljunied mrt station exit a,nil,33473.0437446497,33168.5355699211,1.31623848507352,103.882496650859,,mrt
bayfront mrt station exit,,nil,bayfront mrt station exit,bayfront mrt station exit,nil,31099.6697579063,29376.0639653243,1.2819410418667,103.861170309768,,mrt
downtown mrt station exit,,nil,downtown mrt station exit,downtown mrt station exit,nil,30105.4157993393,29007.5100083034,1.27860805131586,103.852236529778,,mrt
esplanade mrt station exit,,nil,esplanade mrt station exit,esplanade mrt station exit,nil,30320.0000948114,30638.5817923211,1.29335887607579,103.854164769641,,mrt
hillview mrt station exit a,,nil,hillview mrt station exit a,hillview mrt station exit a,nil,20696.2767229853,38283.6699368693,1.36249753291868,103.767689699531,,mrt
hillview mrt station exit b,,nil,hillview mrt station exit b,hillview mrt station exit b,nil,20629.3143177843,38238.4105840325,1.3620882071716,103.767088008608,,mrt
hougang mrt station exit a,,nil,hougang mrt station exit a,hougang mrt station exit a,nil,34579.5546931885,39132.3448216561,1.37017281190245,103.892440505123,,mrt
hougang mrt station exit c,,nil,hougang mrt station exit c,hougang mrt station exit c,nil,34526.3217848651,39352.3549861573,1.37216251601494,103.891962218579,,mrt
hume mrt station exit 1,,nil,hume mrt station exit 1,hume mrt station exit 1,nil,20813.4043158246,37474.3827490266,1.35517866124683,103.768742363896,,mrt
prommenade mrt station exit,,nil,prommenade mrt station exit,prommenade mrt station exit,nil,30964.8818559479,30689.2213095315,1.29381678750189,103.859959311719,,mrt
aljunied mrt station exit b,,nil,aljunied mrt station exit b,aljunied mrt station exit b,nil,33470.3986255527,33196.1179359797,1.3164879306303,103.882472888012,,mrt
bartley mrt station exit a,,nil,bartley mrt station exit a,bartley mrt station exit a,nil,33237.7730075829,36045.8116760217,1.34225958353607,103.88038311704,,mrt
bayfront mrt station exit a,,nil,bayfront mrt station exit a,bayfront mrt station exit a,nil,30847.1161534768,29302.4357026033,1.28127519755786,103.858901011605,,mrt
bayfront mrt station exit c,,nil,bayfront mrt station exit c,bayfront mrt station exit c,nil,30924.5580308046,29474.9012814984,1.28283490852292,103.859596872464,,mrt
bayshore mrt station exit 1,,nil,bayshore mrt station exit 1,bayshore mrt station exit 1,nil,40011.5778390504,32682.0428078305,1.31183696219188,103.941248453619,,mrt
bayshore mrt station exit 2,,nil,bayshore mrt station exit 2,bayshore mrt station exit 2,nil,39934.1822414696,32733.4274925329,1.31230169641448,103.940553037101,,mrt
bayshore mrt station exit 3,,nil,bayshore mrt station exit 3,bayshore mrt station exit 3,nil,39953.8985639196,32909.5849179365,1.31389479153497,103.940730265672,,mrt
bedok mrt station exit b,,nil,bedok mrt station exit b,bedok mrt station exit b,nil,38723.294511985,34056.5904333144,1.32426834306315,103.929673090102,,mrt
bencoolen mrt station exit a,,nil,bencoolen mrt station exit a,bencoolen mrt station exit a,nil,29949.7904790826,31284.6152502391,1.29920140046322,103.850838318577,,mrt
bencoolen mrt station exit b,,nil,bencoolen mrt station exit b,bencoolen mrt station exit b,nil,29810.4714902295,31165.2726463508,1.29812211640702,103.849586468303,,mrt
caldecott mrt station exit 2,,nil,caldecott mrt station exit 2,caldecott mrt station exit 2,nil,28796.9606469367,35601.8646209557,1.33824512889805,103.840479738468,,mrt
caldecott mrt station exit 3,,nil,caldecott mrt station exit 3,caldecott mrt station exit 3,nil,28824.9554142728,35562.212714782,1.33788653037764,103.840731286818,,mrt
canberra mrt station exit b,,nil,canberra mrt station exit b,canberra mrt station exit b,nil,27664.5936667919,47121.8435752075,1.44242769458601,103.830304623338,,mrt
canberra mrt station exit d,,nil,canberra mrt station exit d,canberra mrt station exit d,nil,27530.0302624684,47268.4314506184,1.4437533801991,103.82909543666,,mrt
canberra mrt station exit e,,nil,canberra mrt station exit e,canberra mrt station exit e,nil,27676.2353689568,47163.1186625436,1.44280097163894,103.830409234978,,mrt
chinatown mrt station exit d,,nil,chinatown mrt station exit d,chinatown mrt station exit d,nil,29130.459678079,29759.2374190148,1.2854064601599,103.843476210331,,mrt
chinatown mrt station exit e,,nil,chinatown mrt station exit e,chinatown mrt station exit e,nil,29236.26910323,29720.3653371744,1.28505491072109,103.844426948683,,mrt
chinatown mrt station exit g,,nil,chinatown mrt station exit g,chinatown mrt station exit g,nil,29241.0316191278,29688.0861064754,1.28476298850339,103.844469740517,,mrt
clementi mrt station exit d,,nil,clementi mrt station exit d,clementi mrt station exit d,nil,20457.0491432101,32928.3273680098,1.31406568887036,103.765541409161,,mrt
commonwealth mrt station exit c,,nil,commonwealth mrt station exit c,commonwealth mrt station exit c,nil,24154.8602317786,31603.2726177089,1.30208304808986,103.798768241331,,mrt
